DUASN110638F01001-1_336738,DUA800850009,11186,10638,0
DUASN110716F01001-1_336739,DUA800850009,11186,10716,0
DUASN110730F01001-1_336740,DUA800850009,11186,10730,0
DUASN110636F01001-1_336741,DUA800850009,11186,10636,0
DUASN110634F01001-1_336742,DUA800850009,11186,10634,0
DUASN110640F01001-1_336743,DUA800850009,11186,10640,0
DUASN110726F01001-1_336744,DUA800850009,11186,10726,0
DUASN110720F01001-1_336745,DUA800850009,11186,10720,0
DUASN110718F01001-1_336746,DUA800850009,11186,10718,0
DUASN110728F01001-1_336747,DUA800850009,11186,10728,0
DUASN110734F01001-1_336748,DUA800850009,11186,10734,0
DUASN110732F01001-1_336749,DUA800850009,11186,10732,0
DUASN110642F01001-1_336750,DUA800850009,11186,10642,0
DUASN110818F01001-1_336751,DUA800850009,11186,10818,0
DUASN110812F01001-1_336752,DUA800850009,10576,10812,0
DUASN110810F01001-1_336753,DUA800850009,11186,10810,0
DUASN110820F01001-1_336754,DUA800850009,11186,10820,0
DUASN110826F01001-1_336755,DUA800850009,11186,10826,0
DUASN110824F01001-1_336756,DUA800850009,11186,10824,0
DUASN110644F01001-1_336757,DUA800850009,11186,10644,0
DUASN110714F01001-1_336758,DUA800850009,11186,10714,0
DUASN110712F04001-1_336759,DUA800850009,11186,10712,0
DUASN110816F01001-1_336760,DUA800850009,11186,10816,0
DUASN110814F01001-1_336761,DUA800850009,11186,10814,0
DUASN110710F01001-1_336762,DUA800850009,11186,10710,0
DUASN110226F01001-1_336763,DUA800850009,11186,10226,0
DUASN110220F01001-1_336764,DUA800850009,11186,10220,0
DUASN110214F01001-1_336765,DUA800850009,11186,10214,0
DUASN110224F01001-1_336766,DUA800850009,11186,10224,0
DUASN110222F01001-1_336767,DUA800850009,11186,10222,0
DUASN110228F01001-1_336768,DUA800850009,11186,10228,0
DUASN110112F01001-1_336769,DUA800850009,11186,10112,0
DUASN110110F01001-1_336770,DUA800850009,11186,10110,0
DUASN110116F01001-1_336771,DUA800850009,11186,10116,0
DUASN110212F01001-1_336772,DUA800850009,11186,10212,0
DUASN110218F01001-1_336773,DUA800850009,11186,10218,0
DUASN110216F01001-1_336774,DUA800850009,11186,10216,0
DUASN110210F01001-1_336775,DUA800850009,11186,10210,0
DUASN110150F01001-1_336776,DUA800850009,11189,10150,0
DUASN110148F01001-1_336777,DUA800850009,11187,10148,0
DUASN110154F01001-1_336778,DUA800850009,11188,10154,0
DUASN110724F01001-1_336779,DUA800850009,11186,10724,0
DUASN110722F01001-1_336780,DUA800850009,11186,10722,0
DUASN110432F01001-1_336781,DUA800850009,11186,10432,0
DUASN110138F01001-1_336782,DUA800850009,11186,10138,0
DUASN110144F01001-1_336783,DUA800850009,11186,10144,0
DUASN110142F01001-1_336784,DUA800850009,11186,10142,0
DUASN110152F01001-1_336785,DUA800850009,11188,10152,0
DUASN110146F01001-1_336786,DUA800850009,11187,10146,0
DUASN110140F01001-1_336787,DUA800850009,11186,10140,0
DUASN110614F01001-1_336788,DUA800850009,11186,10614,0
DUASN110620F01001-1_336789,DUA800850009,11186,10620,0
DUASN110618F01001-1_336790,DUA800850009,11186,10618,0
DUASN110628F01001-1_336791,DUA800850009,11186,10628,0
DUASN110622F01001-1_336792,DUA800850009,11186,10622,0
DUASN110616F01001-1_336793,DUA800850009,11186,10616,0
DUASN110448F01001-1_336794,DUA800850009,11189,10448,0
DUASN110442F01001-1_336795,DUA800850009,11186,10442,0
DUASN110436F01001-1_336796,DUA800850009,11186,10436,0
DUASN110446F01001-1_336797,DUA800850009,11187,10446,0
DUASN110444F01001-1_336798,DUA800850009,11186,10444,0
DUASN110450F01001-1_336799,DUA800850009,11189,10450,0
DUASN110630F01001-1_336800,DUA800850009,11186,10630,0
DUASN110542F01001-1_336801,DUA800850009,11186,10542,0
DUASN110536F01001-1_336802,DUA800850009,11186,10536,0
DUASN110530F01001-1_336803,DUA800850009,11186,10530,0
DUASN110540F01001-1_336804,DUA800850009,11186,10540,0
DUASN110538F01001-1_336805,DUA800850009,11186,10538,0
DUASN110544F01001-1_336806,DUA800850009,11186,10544,0
DUASN110546F01001-1_336807,DUA800850009,11187,10546,0
DUASN110626F01001-1_336808,DUA800850009,11186,10626,0
DUASN110624F01001-1_336809,DUA800850009,11186,10624,0
DUASN110528F01001-1_336810,DUA800850009,11186,10528,0
DUASN110534F01001-1_336811,DUA800850009,11186,10534,0
DUASN110532F01001-1_336812,DUA800850009,11186,10532,0
DUASN110752F01001-1_336813,DUA800850009,11189,10752,0
DUASN110750F01001-1_336814,DUA800850009,11189,10750,0
DUASN110744F01001-1_336815,DUA800850009,11186,10744,0
DUASN110632F01001-1_336816,DUA800850009,11186,10632,0
DUASN110748F01001-1_336817,DUA800850009,11187,10748,0
DUASN110746F01001-1_336818,DUA800850009,11186,10746,0
DUASN110740F01001-1_336819,DUA800850009,11186,10740,0
DUASN110754F01001-1_336820,DUA800850009,11188,10754,0
DUASN110822F01001-1_336821,DUA800850009,11186,10822,0
DUASN110738F01001-1_336822,DUA800850009,11186,10738,0
DUASN110736F01001-1_336823,DUA800850009,11186,10736,0
DUASN110742F01001-1_336824,DUA800850009,11186,10742,0
DUASN110514F01001-1_336825,DUA800850009,11186,10514,0
DUASN110452F01001-1_336826,DUA800850009,11188,10452,0
DUASN110522F01001-1_336827,DUA800850009,11186,10522,0
DUASN110520F01001-1_336828,DUA800850009,11186,10520,0
DUASN110434F01001-1_336829,DUA800850009,11186,10434,0
DUASN110440F01001-1_336830,DUA800850009,11186,10440,0
DUASN110438F01001-1_336831,DUA800850009,11186,10438,0
