OCEDB-80194035-87213470,OCESN,Neustadt (Weinstr) Hbf - Wissembourg,2
OCEDB-80194324-87213470,OCESN,WINDEN PFALZ - Wissembourg,2
OCEDB-87212464-80191031,OCESN,Lauterbourg - WOERTH RHEIN,2
OCEDB-80194258-87213470,OCESN,Landau Hbf - Wissembourg,2
OCESN-87116137-87116160,OCESN,Longueville (S.-et-M.) - Provins,3
OCESN-87116301-87430819,OCESN,Coulommiers - La-Ferté-Gaucher-Centre,3
OCESN-87581009-87324061,OCESN,Bordeaux-St-Jean - Lacanau-Océan,3
OCESN-87381897-87386680,OCESN,Conflans-Ste-Honorine - Les Mureaux,3
OCESN-87386680-87381509,OCESN,Les Mureaux - Mantes-la-Jolie,3
OCESN-87381509-87386573,OCESN,Mantes-la-Jolie - Poissy,2
OCESN-87381509-87415604,OCESN,Mantes-la-Jolie - Vernon-Giverny,2
OCESN-87581009-87592006,OCESN,Bordeaux-St-Jean - Limoges-Bénédictins,2
OCESN-87681007-87682005,OCESN,Corbeil-Essonnes - Melun,3
OCESN-87681007-87681635,OCESN,Corbeil-Essonnes - Coudray-Montceaux,3
OCESN-87681007-87681452,OCESN,Corbeil-Essonnes - La Ferté-Alais,3
OCESN-87745497-87746479,OCESN,Annemasse - St-Gervais-L-B-Le-Fayet,2
OCESN-87581009-87651851,OCESN,Bordeaux-St-Jean - Cap-Ferret-Andernos,3
OCESN-87641001-87576009,OCESN,Montluçon-Ville - Vierzon,2
OCESN-87722025-87571000,OCESN,Lyon-Perrache - Tours,2
OCE610,OCESN,Paris-Vaug. / Dreux / Argentan / Granville,2
OCE35,OCESN,Paris-Le Mans,2
OCESN-87394130-87394296,OCESN,Maintenon - Nogent-le-Rotrou,2
OCESN-87396002-87394130,OCESN,Le Mans - Maintenon,2
OCE705741,OCESN,ORL - TO,2
OCESN-87722025-87696005,OCESN,Lyon-Perrache - Nevers,2
OCE669703,OCESN,Tours-Paray-Lyon,2
OCESN-87696005-87571000,OCESN,Nevers - Tours,2
OCE343,OCESN,IC MARSEILLE/SISTERON/BRIANCON + GAP/BRI,2
OCE647,OCESN,Villefranche-La Tour de Carol,2
OCESN-87611483-87784686,OCESN,Latour-de-Carol-Enveitg - Villefranche-Vernet-l.B,2
OCE655,OCESN,ROMANS/BRIANCON,2
OCESN-87763607-87761650,OCESN,Briançon - Romans-Bourg-de-Péage,2
OCESN-87763003-87761650,OCESN,Gap - Romans-Bourg-de-Péage,2
OCESN-87763607-87751008,OCESN,Briançon - Marseille-St-Charles,2
OCESN-87763466-87751008,OCESN,Embrun - Marseille-St-Charles,2
OCE318,OCESN,IC MARSEILLE/NICE,2
OCE46,OCESN,Geneve - Evian - Annecy - Valence,2
OCE213,OCESN,Lyon - Grenoble,2
OCE160686,OCESN,Lyon - Marseille Multi Activités,2
OCE725905,OCESN,Paris Bercy - Dijon - Lyon (Multi-Activités),2
OCE16635,OCESN,Lyon - (LTP) - Chambéry - Bourg-St-Maurice,2
OCESN-87741793-87723197,OCESN,Bourg-St-Maurice - Lyon-Part-Dieu,2
OCE16634,OCESN,Lyon - (LPT - AMB) - Chambéry,2
OCESN-87723197-87742007,OCESN,Lyon-Part-Dieu - Modane,2
OCE67,OCESN,Lyon - (LTP) - Chambéry - Modane,2
OCE52,OCESN,Lyon - Annecy,2
OCESN-87741009-87723197,OCESN,Chambéry-Chal.-les-Eaux - Lyon-Part-Dieu,2
OCE534,OCESN,Belfort -Mulhouse ville,2
OCE633121,OCESN,LILLE-TOURCOING-MOUSCRON,2
OCE697619,OCESN,LILLE-TOURNAI-ASCQ-ORCHIES,2
OCESN-87276113-87271007,OCESN,Chantilly-Gouvieux - Paris-Nord,2
OCE136637,OCESN,PARIS - CREIL,2
OCESN-87313874-87286005,OCESN,Amiens - Lille Flandres,2
OCESN-87286005-87411017,OCESN,Lille Flandres - Rouen-Rive-Droite,2
OCESN-87342006-87286005,OCESN,Béthune - Lille Flandres,2
OCESN-87286005-87343004,OCESN,Lille Flandres - Valenciennes,2
OCESN-87342014-87286005,OCESN,Arras - Lille Flandres,2
OCESN-87281006-87286005,OCESN,Dunkerque - Lille Flandres,2
OCESN-87295014-87286005,OCESN,Jeumont - Lille Flandres,2
OCESN-87345520-87286005,OCESN,Cambrai Ville - Lille Flandres,2
OCESN-87286302-87286005,OCESN,Hazebrouck - Lille Flandres,2
OCESN-87317586-87286005,OCESN,Boulogne Ville - Lille Flandres,2
OCESN-87345025-87286005,OCESN,Lens - Lille Flandres,2
OCESN-87286005-87342337,OCESN,Lille Flandres - St Pol sur Ternoise,2
OCESN-87342006-87342337,OCESN,Béthune - St Pol sur Ternoise,3
OCESN-87313510-87317529,OCESN,Beauvais-Gare-SNCF - Le Tréport-Mers-Les-B,2
OCESN-87413013-87411017,OCESN,Le Havre - Rouen-Rive-Droite,2
OCESN-87581009-87581314,OCESN,Bordeaux-St-Jean - Lesparre,2
OCESN-87783001-87613422,OCERRR MidiPy,Millau - Rodez,2
OCESN-87611095-87611004,OCESN,Boussens - Toulouse-Matabiau,2
OCESN-87592006-87641001,OCESN,Limoges-Bénédictins - Montluçon-Ville,2
OCESN-87756486-87756056,OCESN,Menton - Nice-Ville,2
OCESN-87785006-87784009,OCESN,Cerbère - Perpignan,2
OCE317,OCESN,NICE/TENDE,2
OCE325,OCESN,Metz - Forbach - Saarbrücken,2
OCESN-87193615-87212027,OCESN,Sarreguemines - Strasbourg,2
OCESN-80253914-87212027,OCESN,Saarbrucken-Hbf - Strasbourg,2
OCESN-87212142-87212027,OCESN,Mommenheim - Strasbourg,2
OCE600929,OCESN,Haguenau - Niederbronn - Bitche,3
OCESN-87193821-87213256,OCESN,Bitche - Niederbronn,3
OCE600928,OCESN,Haguenau - Wissembourg,3
OCE596931,OCESN,Haguenau-Obermodern-Saverne,3
OCE600930,OCESN,Strasbourg -Haguenau,3
OCE468860,OCESN,Frohmuhl-Saverne,3
OCE464859,OCESN,Mommenheim-Bouxwiller,3
OCE616985,OCESN,Colmar - Bollwiller - Mulhouse,3
OCE476859,OCESN,Strasbourg-Sélestat via Erstein,3
OCE600927,OCESN,Strasbourg-Sarreguemines,3
OCE616988,OCESN,Ingwiller - Wimmenau - Lichtenberg,3
OCE600931,OCESN,Strasbourg - Saverne,3
OCE801852,OCESN,Saverne - Lutzelbourg,3
OCE616987,OCESN,Mulhouse - Kruth,3
OCE616984,OCESN,Colmar - Munster - Metzeral,3
OCE472859,OCESN,Sewen-Cernay,3
OCE600932,OCESN,Strasbourg-Lauterbourg,3
OCE468861,OCESN,Saverne-Hattmatt,3
OCE596933,OCESN,Mulhouse-Belfort,3
OCE616990,OCESN,Strasbourg - Rothau - Saales,3
OCE616989,OCESN,Strasbourg - Barr - Sélestat,3
OCESN-87214528-87212027,OCESN,Entzheim-Aéroport - Strasbourg,3
OCE528888,OCESN,Sélestat - Ribeauvillé,3
OCE616986,OCESN,Mulhouse - St Louis - Bâle,3
OCESN-87702076-87214056,OCESN,Riquewihr-Poste - Sélestat,3
OCE468859,OCESN,St-Dié-Ste Marie aux Mines-Sélestat,3
OCE16626,OCESN,Commentry / Montluçon / Vierzon / Bourges (ligne 11),3
OCE416859,OCESN,Clermont Fd / Le Mont Dore,3
OCESN-87734004-87732404,OCESN,Clermont-Ferrand - Gannat,2
OCESN-87732404-87734053,OCESN,Gannat - Riom-Châtel-Guyon,3
OCE384863,OCESN,Neussargues / Aurillac / Brive (ligne 10),2
OCE384864,OCESN,Aurillac / Figeac / Capdenac,2
